,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49,gen50
sample1,10,5.282303153,8.126024499,10,9.343667169,5.698851202,8.322968813,9.439351174,6.099832357,4.406973397,4.465438501,4.111385349,2.432231633,7.769591166,6.458368447,7.665667989,8.072232976,4.490072421,2.02060932,3.26080783,6.875563339,1.215992955,0.656259006,0,6.158668657,5.533598598,5.878072659,4.939360665,6.112700653,1.986018074,7.277494473,5.095586626,5.490354126,2.127766901,0,2.813144519,2.378508854,4.685171017,0.179253764,3.887029132,2.955027514,4.298046827,3.185759896,5.151908671,0,1.029907151,0,0,0.841939645,0
sample2,9.983251156,10,6.397550509,3.969791294,10,6.953878338,9.456187991,5.850345814,6.215522606,8.881600087,6.744424977,6.469327825,7.010933344,3.277733108,5.862317429,2.441904463,4.432567277,4.889307122,0.721608734,8.733708524,3.765993192,8.422511588,1.677374129,4.089970807,4.602243596,0,2.756351174,1.130934574,3.156609335,0,4.124743126,7.446868378,0,0,2.9997468,3.032088835,4.181761797,2.411520146,0,6.979972443,5.784419014,0,2.115877796,2.148076489,4.059697861,0,2.102405552,0,1.3031969,3.125215912
sample3,8,10,3.904236726,8.052691544,10,9.905338096,7.754421408,6.420819083,7.752935113,5.369165039,4.554575444,6.409497771,10,5.421881753,6.08561175,5.140709335,6.692780223,2.34103431,7.939672205,1.230385347,3.023495548,9.206562426,5.393091812,4.303837291,3.642663929,3.79576869,6.627321105,0.71631161,0,2.733172086,0,3.109602985,0.154118544,2.843150079,2.19032356,5.501394452,0.085491319,3.873349486,0,5.90182509,0.284818418,5.263416375,2.363859488,0,4.460587205,1.978613143,0,1.432435427,1.934107533,0
sample4,7,10,9.866730564,8.022427761,6.721407758,6.180524188,10,4.949437104,4.334486687,5.031534651,3.618040147,8.311812526,7.782624007,2.623980196,2.138361036,7.174013399,8.0813378,3.316101215,2.705878246,5.674780107,9.071243426,6.473870812,1.83521948,4.747894918,2.452757458,5.755559355,7.413724357,2.274514591,3.297018992,4.749116789,4.510629213,5.760902298,4.364164035,3.956072708,0.387387188,10,0.007212643,0,3.18350411,1.172336245,4.791369654,2.105160068,3.325784474,2.533386933,5.150624688,1.650218507,4.431112135,2.598165241,2.150481691,3.590108148
sample5,6,8.522177761,10,10,10,3.803187452,8.947175768,8.451782299,9.68235794,8.572241952,6.567423953,5.674718461,8.118551568,5.144337755,8.313648605,8.421244928,5.321681925,6.69310881,5.225632268,4.290194057,4.103735761,6.54732601,3.011844897,4.747482144,3.724691531,4.972267399,1.369207257,8.160590928,1.919337332,0,6.082693004,2.844845146,0.443845931,0.479743134,2.580316366,1.622269013,1.182406097,0.284467582,1.083741276,1.726195307,1.543045545,1.48840737,0.76227249,0.051850297,1.952492729,5.422108626,3.713418188,3.039247462,0,1.096667838
sample6,5,9.452978039,9.033661635,10,6.467650672,6.201775523,10,10,6.884517854,5.973872866,6.042640577,9.240285784,5.518212826,5.741797201,5.187322886,5.373199451,9.944385774,5.127757368,6.924885241,2.751875359,5.495219524,6.040024478,5.944144935,4.788117292,3.010707003,1.378197793,3.353570481,3.123328314,4.341902552,3.806046024,4.158148358,6.383331106,7.101185982,0,3.590210058,5.167982339,2.87163359,1.564328381,1.432230609,1.524835404,6.91934164,0.304852285,0,0,3.745886743,0.754396871,5.568754998,3.861635312,0,0
sample7,4,6.635810896,10,5.728319745,7.293895898,6.991621801,8.81150065,8.800765147,7.712840968,8.91771166,6.996650542,5.711434185,4.197702584,6.656834891,5.896875117,3.73535172,6.555371196,8.662847826,3.039871699,3.922921237,7.70439618,6.176825639,3.14747781,7.293650498,7.153582676,5.618387578,6.445258506,4.921515412,3.074382029,6.705860318,5.80675805,9.208509224,7.448069866,4.915387133,0,0,2.667184689,7.423667428,1.019047045,2.480761939,9.584917674,0,1.626445752,0,3.484107101,5.699013616,2.604822883,2.828325844,0.700356401,4.192439563
sample8,3,10,5.492649939,5.05964706,8.517697522,5.349353957,7.963468151,8.954581464,7.40524967,6.804310782,8.171230451,7.0759089,4.94148602,9.521378473,10,7.993765739,3.039853753,7.0791339,4.089547956,4.462609564,0.936579784,1.310373949,2.038529063,6.669426243,2.106009803,2.995370811,2.856953627,6.417452038,4.964779858,3.229047045,2.920588839,1.370816324,3.608641057,0,10,5.239562244,0,0.153108936,1.772256702,4.000994332,4.386911518,0.193828824,3.356500444,3.100090412,3.310413988,0.023397004,4.545198709,0,1.984474532,0
sample9,2,10,10,9.243450535,9.643556815,7.552995217,10,5.290618481,8.189680834,9.137338319,6.36624735,9.700589831,5.975741079,5.027101047,4.940856687,5.941789934,3.014721428,5.528387398,6.54036493,2.341178218,2.974552865,1.339044921,2.840908826,3.873029171,2.571488089,6.320521589,2.045949212,0.607017176,7.062823502,0,1.659130505,3.1584531,1.885920425,4.947641901,1.625688131,1.332284955,0,1.722309945,1.463349399,4.017233755,0,0.80357294,0,2.958021296,0.59576016,4.291070248,0.59113494,1.389173768,4.610612176,2.737464591
sample10,1,6.916685221,10,5.746750953,2.689143557,6.570446131,6.688970139,8.574774511,7.278592292,7.903764976,6.373071486,8.589904324,4.42416449,4.449094757,0.098153173,8.295684606,3.683129318,10,1.34605549,3.492782154,4.872385532,4.092965128,7.288141401,4.715569422,6.755485431,5.263908838,0,0.777154547,4.229443336,3.8962134,2.877572373,5.962198426,1.487980917,2.951495363,0.11372444,3.503428901,5.010924365,8.707621273,2.310168156,1.089931007,2.827045299,0,1.810120373,1.7893257,0,0,3.724919431,2.25357359,2.636098786,1.849801764
