fpr,Transformer,Charlson,Elixhauser,llama,Delpi
0,0,0,0,0,0
0.001956947,0.027982729,0.023661407,0.021946356,0.00962387,0.041862923
0.003913894,0.054079273,0.04284629,0.03939413,0.016209277,0.07049286
0.005870841,0.075187583,0.059340627,0.052860716,0.022794683,0.098596728
0.007827789,0.095909682,0.073808133,0.067752971,0.029842292,0.124015386
0.009784736,0.11312912,0.084604536,0.08150772,0.036653043,0.143890133
0.011741683,0.131394446,0.095400938,0.092138134,0.045310331,0.16442704
0.01369863,0.147497923,0.106197341,0.103247626,0.054288822,0.182245637
0.015655577,0.1602399,0.115655239,0.114253555,0.062427286,0.201489583
0.017612524,0.174896749,0.124941037,0.124734861,0.0752583,0.215689703
0.019569472,0.185197704,0.134226836,0.134210763,0.081448234,0.231773042
0.021526419,0.196029853,0.143512635,0.142659235,0.08786076,0.245470361
0.023483366,0.207992239,0.152798434,0.150948459,0.094224416,0.255555766
0.025440313,0.21685692,0.162084233,0.159066192,0.100960656,0.26350915
0.02739726,0.226001347,0.169834084,0.167183924,0.105117127,0.276093266
0.029354207,0.236403613,0.177172164,0.175159946,0.109273597,0.288843632
0.031311155,0.247793853,0.184510243,0.18304811,0.113430068,0.298417723
0.033268102,0.255795534,0.191848323,0.190936274,0.117586538,0.305472868
0.035225049,0.263913616,0.199186403,0.198322771,0.121743009,0.314618026
0.037181996,0.270828848,0.206524482,0.204946702,0.125899479,0.325296017
0.039138943,0.278516041,0.213862562,0.211570632,0.13005595,0.334210262
0.04109589,0.286759957,0.221200642,0.218194563,0.135545018,0.342046426
0.043052838,0.293940217,0.228538721,0.225199003,0.142064372,0.349529114
0.045009785,0.30166351,0.235876801,0.232463326,0.147409881,0.356765423
0.046966732,0.308475939,0.243214881,0.239727648,0.151207453,0.364058327
0.048923679,0.315844069,0.248924084,0.24605476,0.155005025,0.369852385
0.050880626,0.32228117,0.254266339,0.25093734,0.158802597,0.375465065
0.052837573,0.328259635,0.259608593,0.255819919,0.162600169,0.383075416
0.054794521,0.337292112,0.264950848,0.260702498,0.166397741,0.388159311
0.056751468,0.342250474,0.270293102,0.265585077,0.171513653,0.397845575
0.058708415,0.34823597,0.275635357,0.270467657,0.177286472,0.403541174
0.060665362,0.353625048,0.280977611,0.275350236,0.18328738,0.409041981
0.062622309,0.359475716,0.286319866,0.279228564,0.1876478,0.41679225
0.064579256,0.36623094,0.29166212,0.282446404,0.19200822,0.42093628
0.066536204,0.370512895,0.297004375,0.285664243,0.19740749,0.42540366
0.068493151,0.376995389,0.302346629,0.288882083,0.20130104,0.430312012
0.070450098,0.381735397,0.307688884,0.292099923,0.207112567,0.436383208
0.072407045,0.384774123,0.313031138,0.295317763,0.212529346,0.441550054
0.074363992,0.389786716,0.318373393,0.298535603,0.217108307,0.446544347
0.076320939,0.394297336,0.323715647,0.301753443,0.222566228,0.452110129
0.078277886,0.397847147,0.329057902,0.304971283,0.228059349,0.457265877
0.080234834,0.40396011,0.334400156,0.310031321,0.232139525,0.463293864
0.082191781,0.407573912,0.339742411,0.315635531,0.236209335,0.467599569
0.084148728,0.413006642,0.34502963,0.321239741,0.241455767,0.473627557
0.086105675,0.415975949,0.348884644,0.326843952,0.246080276,0.477933262
0.088062622,0.419375673,0.352739657,0.332448162,0.250704785,0.482238967
0.090019569,0.423028449,0.356594671,0.338052372,0.255329294,0.485683531
0.091976517,0.425796769,0.360449685,0.343681934,0.259787923,0.490204521
0.093933464,0.431026139,0.364304699,0.349326669,0.262364853,0.495973595
0.095890411,0.433584499,0.368159712,0.354971404,0.264941783,0.499677072
0.097847358,0.436842973,0.372014726,0.360616139,0.267518713,0.503792612
0.099804305,0.441490827,0.37586974,0.366260874,0.270095643,0.508532954
0.101761252,0.447757816,0.379724754,0.371905609,0.272672573,0.513024758
0.1037182,0.452960172,0.383579767,0.377550344,0.275249504,0.516951931
0.105675147,0.458127018,0.387434781,0.383195079,0.277826434,0.521420883
0.107632094,0.463237455,0.391289795,0.388184972,0.280403364,0.5264776
0.109589041,0.467046882,0.395144809,0.391725804,0.282980294,0.531754575
0.111545988,0.470471085,0.398999823,0.395266636,0.286673577,0.53649085
0.113502935,0.473740724,0.402854836,0.398807468,0.290216407,0.540221794
0.115459883,0.478282444,0.40670985,0.402348299,0.293728966,0.54362008
0.11741683,0.481500351,0.410564864,0.405889131,0.297241525,0.548149034
0.119373777,0.48482239,0.414419878,0.409429963,0.300754083,0.550699677
0.121330724,0.487405813,0.418274891,0.412970795,0.304266642,0.55350481
0.123287671,0.491107933,0.422129905,0.416081622,0.308737583,0.558234661
0.125244618,0.495801938,0.425984919,0.418893082,0.313103217,0.561664609
0.127201566,0.499533102,0.429839933,0.421704542,0.316984422,0.565339074
0.129158513,0.502578152,0.433694946,0.424516002,0.320865627,0.568783638
0.13111546,0.505489774,0.43754996,0.427327462,0.324746832,0.573950484
0.133072407,0.509048643,0.441404974,0.430138922,0.328628038,0.577179763
