Phen1,Phen2,Phen3,Phen4,Phen5,Phen6,Phen7,Phen8
1.923,10.421,8.527,7.294,6.715,6.211,5.766,2.39
2.263,6.667,8.101,6.671,7.287,7.329,3.623,3.629
1.809,1.982,1.519,1.323,0.992,1.009,1.354,1.703
4.027,8.085,7.473,6.715,5.932,5.812,5.327,6.941
1.808,9.876,6.196,5.757,4.36,6.534,3.865,1.757
3.318,8.059,8.277,6.165,4.138,5.389,3.969,3.663
2.681,2.514,3.473,2.88,1.922,2.256,2.373,3.583
3.147,8.61,8.357,7.752,5.564,6.594,3.987,2.328
0.63,6.845,3.056,3.772,3.515,3.801,0.874,0.678
3.6,10.747,10.331,9.955,6.248,9.945,5.986,3.043
1.978,10.238,8.736,6.227,5.478,5.981,2.502,2.022
6.392,19.23,17.548,12.487,12.113,14.843,14.044,5.36
4.358,14.681,14.541,10.479,9.99,7.665,5.419,3.401
1.79,13.418,14.197,11.593,12.416,11.472,6.732,5.886
3.131,11.511,11.941,8.038,8.394,7.401,5.381,3.103
1.365,4.392,4.467,2.325,3.137,3.262,1.313,1
6.146,11.18,13.732,11.111,9.23,10.574,12.855,9.655
1.421,14.038,12.93,8.823,9.999,11.727,6.989,4.047
3.365,11.838,9.169,9.11,8.526,10.205,4.623,2.851
2.858,5.941,6.539,4.687,3.18,3.418,4.435,3.832
0.831,1.896,2.02,2.885,2.246,2.548,2.546,2.214
2.038,3.245,2.189,1.632,1.177,2.184,1.312,1.764
2.216,12.108,11.565,9.997,7.451,7.959,6.221,3.64
0.896,9.432,9.706,7.061,6.565,7.847,4.333,2.498
4.41,20.823,27.178,27.597,19.658,17.602,5.236,2.674
4.452,20.441,16.73,16.571,16.612,11.679,11.292,7.109
3.719,12.125,13.638,10.318,10.266,8.625,4.389,3.035
6.869,15.817,18.483,10.853,12.506,11.223,10.67,9.586
6.823,17.945,15.838,14.58,13.392,10.433,9.96,7.302
1.773,5.447,4.886,3.994,2.576,2.862,1.273,0.508
4.311,14.934,12.178,8.072,6.831,7.798,7.933,3.845
3.351,12.543,13.969,9.966,8.508,9.28,8.04,4.441
2.429,4.989,4.868,3.667,3.992,3.343,1.306,0.925
1.271,3.942,1.394,1.475,0.928,0.94,1.043,1.455
3.115,6.339,6.772,6.088,5.045,4.167,3.34,1.582
4.763,15.29,13.038,11.149,9.88,8.864,4.751,5.917
4.539,15.847,17.021,15.103,14.349,14.861,11.659,8.802
3.714,7.315,5.62,5.73,3.869,5.672,4.929,2.908
0.803,3.182,1.89,1.584,0.754,1.02,0.9,0.616
1.429,6.278,7.875,2.219,2.635,3.383,2.145,0.992
2.355,9.174,5.549,5.789,5.194,3.703,3.659,3.46
3.783,8.34,8.006,6.145,4.85,7.638,4.559,2.757
2.918,15.01,16.78,15.519,10.954,8.178,8.826,6.073
1.039,0.898,1.293,0.644,0.311,0.156,0.212,0.287
3.69,12.21,11.848,7.408,6.299,7.648,8.952,5.342
3.593,4.632,6.467,3.734,3.428,2.895,2.736,2.738
2.369,14.13,11.315,9.145,7.714,7.594,2.364,2.356
5.665,12.843,10.356,9.52,8.664,8.108,6.852,7.531
3.815,14.92,17.199,16.37,9.67,13.304,6.655,7.748
3.562,11.913,11.699,10.771,7.454,10.206,5.781,3.843
0.993,2.277,2.43,1.61,1.86,1.371,0.985,1.199
0.622,4.165,2.853,2.744,1.409,2.199,1.039,0.989
3.922,13.083,13.556,10.186,9.398,9.189,8.11,6.574
5.664,12.283,9.655,7.253,8.355,7.251,7.848,6.719
2.608,4.434,4.012,2.626,1.742,2.449,3.526,2.367
1.813,13.977,15.037,11.166,9.633,7.95,7.973,5.027
2.221,7.603,5.747,4.8,4.548,5.625,2.546,2.12
4.419,13.601,12.867,11.251,10.26,10.625,10.207,6.532
3.082,10.786,9.505,7.343,6.84,7.674,7.446,4.153
2.105,3.739,4.479,3.278,3.402,4.133,2.987,1.628
5.835,18.85,21.75,14.898,14.836,14.976,7.434,5.061
3.954,12.495,12.905,10.939,10.426,9.878,11.055,6.818
2.195,5.014,8.327,5.886,4.515,5.662,3.377,1.793
