Phen1,Phen2,Phen3,Phen4,Phen5,Phen6,Phen7,Phen8,Phen9,Phen10,Phen11,Phen12
-0.560475647,-0.220486562,0.516862044,-0.343917234,-1.364037452,1.77950291,-1.509166537,0.582991406,0.397842209,1.012834336,-0.759398117,0.665159876
-0.230177489,0.331781964,0.368964527,0.090496647,-0.200781016,0.28642442,-0.095147451,-1.316510402,-0.550223741,-0.201458147,2.684858999,1.317820884
1.558708314,1.096839013,-0.215380508,1.598508771,0.865779404,0.126315858,-0.895947823,-2.809774679,0.091267383,-2.037682494,-0.458390139,-0.09548759
0.070508391,0.435181491,0.065293034,-0.088565112,-0.101883256,1.272266779,-2.070751071,0.464967991,-1.961707599,-0.195889249,0.064243557,0.196278045
0.129287735,-0.325931586,-0.034067254,1.080799496,0.624187472,-0.718466221,0.150120131,0.840539827,-1.119899721,0.539790606,0.649791867,2.487997877
1.715064987,1.148807618,2.128451899,0.630754116,0.959005378,-0.450338624,-0.079211709,-0.285845424,-1.327755476,0.616455716,-0.026018635,0.431098928
0.460916206,0.993503856,-0.741336096,-0.113639896,1.671054829,2.39745248,-0.097369268,0.504126255,-0.853623697,0.616567817,-0.643567387,0.188753109
-1.265061235,0.54839696,-1.095996267,-1.532902003,0.056016733,0.011129187,0.216152542,-1.155916525,-0.693304528,-1.692101521,1.045305664,-1.342243125
-0.686852852,0.238731735,0.037788399,-0.521117318,-0.051981906,1.633568421,0.882465164,-0.127148607,0.382305143,0.368742058,1.615545323,0.002856048
-0.44566197,-0.627906076,0.310480749,-0.489870453,-1.753237359,-1.438506645,0.205597504,-1.941518376,0.982113003,0.96785921,-0.029693971,-0.221326153
1.224081797,1.360652449,0.436523479,0.047154433,0.099327594,-0.190516802,-0.616435843,1.181180891,-0.727383529,1.276578681,0.562267345,-0.01104583
0.359813827,-0.600259587,-0.458365333,1.300198678,-0.571850058,0.378423904,-0.734799252,1.859910862,-0.996838982,-0.224961271,-0.097412499,-0.575417641
0.400771451,2.187332993,-1.063326134,2.293078974,-0.974009583,0.300038545,-0.131802793,1.07401226,-1.041688859,-0.321892586,1.016455218,-0.686815652
0.110682716,1.532610626,1.263185176,1.547581059,-0.179906231,-1.00563626,0.310016987,-0.027346966,-0.414588726,1.487837832,-1.156167394,-0.720773632
-0.555841135,-0.235700359,-0.349650388,-0.133150964,1.014943173,0.019259275,-1.039680353,-0.033330342,-0.239029068,-1.667928046,2.320860224,-0.214504515
1.786913137,-1.0264209,-0.865512863,-1.756527396,-1.992748489,-1.077420653,-0.184308869,-1.516067623,0.483617534,-0.436829977,-0.603531248,1.368132648
0.497850478,-0.710406564,-0.236279569,-0.388779864,-0.427279287,0.712703325,0.96726726,0.790385344,-0.321324842,0.457462079,-1.458849414,1.049086627
-1.966617157,0.256883709,-0.197175894,0.089207223,0.116637284,1.08477509,-0.108280091,-0.210734181,-2.078489269,-1.617773765,-0.350917827,-0.359975118
0.701355902,-0.246691878,1.10992029,0.845013004,-0.89320757,-2.224987696,-0.698420668,-0.656742925,-0.091434276,0.279627862,0.146708484,-1.685916455
-0.472791408,-0.347542599,0.084737292,0.962527968,0.333902942,1.235693462,-0.275945168,-1.412025793,1.187186811,1.877864021,1.623621208,-0.844583429
-1.067823706,-0.951618567,0.754053785,0.684309429,0.411429921,-1.241044497,1.114648545,-0.299762497,1.191601269,-0.004060653,0.911209677,-0.457760533
-0.217974915,-0.045027725,-0.499292017,-1.39527435,-0.033036159,0.454769269,0.550043961,-0.849061135,-0.788963218,-0.278454025,0.142458432,0.103638004
-1.026004448,-0.784904469,0.21444531,0.849643046,-2.465898194,0.659902638,1.2366758,-0.39703052,-1.547776544,0.474911714,-1.389483524,-0.662607276
-0.728891229,-1.667941937,-0.324685911,-0.446557216,2.571458146,-0.199889828,0.139097857,-1.217599988,2.458060492,-0.279072171,-0.866037745,2.006680691
-0.625039268,-0.38022652,0.094583528,0.1748027,-0.205299257,-0.645113957,0.410275096,1.687589483,-0.162421942,0.813400374,-0.163284932,-0.272267534
-1.686693311,0.918996609,-0.895363358,0.074551177,0.651193282,0.165321021,-0.558456912,-0.016002527,-0.09745125,0.904435464,2.553026113,-1.21394447
0.837787044,-0.575346963,-1.310801533,0.428166765,0.273766491,0.438818701,0.605370669,1.074945077,0.420574189,0.002691661,-1.860227574,-0.141261757
0.153373118,0.607964322,1.997213385,0.024674983,1.024673235,0.88330282,-0.506333542,-2.60169967,-1.614039457,-1.176692158,1.131054652,-1.005377582
-1.138136937,-1.617882708,0.600708824,-1.667475098,0.817659446,-2.052336984,-1.420565505,-0.45319783,-0.728219111,-1.318220727,-0.527234257,0.156155707
1.253814921,-0.055561966,-1.251271362,0.736495965,-0.209793171,-1.636379268,0.127992966,-0.675482292,-1.540442405,-0.592997366,1.6659909,0.233633614
0.426464221,0.519407204,-0.611165917,0.386026568,0.378167772,1.430402341,1.945851218,-1.222926179,-0.693094614,0.797380501,-1.13920064,0.355587612
-0.295071483,0.301153362,-1.185480085,-0.265651625,-0.945408831,1.046628847,0.80091434,1.546609154,0.118849433,-1.958205175,0.143623235,-1.621858259
0.895125661,0.105676194,2.198810349,0.118144511,0.856923011,0.435288949,1.16525339,-1.41528192,-1.364709458,-1.886325159,-1.099550942,0.220711291
0.878133488,-0.640706008,1.312412976,0.134038645,-0.461038339,0.715178407,0.358855723,0.31839026,0.589982679,-0.653779825,0.903516426,0.310450081
0.821581082,-0.849704346,-0.265145057,0.221019469,2.416773354,0.917174918,-0.608557178,0.846436286,0.289344029,0.394394848,1.483779489,-1.421108448
0.688640254,-1.024128791,0.543194059,1.640846166,-1.651048896,-2.660922798,-0.202240855,0.178190188,-0.904215026,-0.913566048,1.950721006,0.95536564
