Setting,Metric,Lasso,ENet,SGLasso,Pclogit,CDReg w/o S,CDReg w/o C,CDReg
Setting 1,AUROC,0.603,0.598,0.645,0.624,0.544,0.56,0.66
Setting 1,AUROC,0.611,0.623,0.655,0.629,0.582,0.608,0.657
Setting 1,AUROC,0.613,0.607,0.65,0.616,0.494,0.58,0.65
Setting 1,AUROC,0.588,0.588,0.635,0.604,0.587,0.579,0.645
Setting 1,AUROC,0.591,0.593,0.62,0.616,0.575,0.587,0.625
Setting 1,AUROC,0.569,0.57,0.633,0.586,0.607,0.551,0.656
Setting 1,AUROC,0.56,0.566,0.613,0.596,0.557,0.484,0.623
Setting 1,AUROC,0.612,0.622,0.644,0.607,0.483,0.617,0.661
Setting 1,AUROC,0.607,0.612,0.674,0.632,0.615,0.59,0.677
Setting 1,AUROC,0.618,0.618,0.669,0.632,0.53,0.553,0.677
Setting 1,Mean,0.597,0.6,0.644,0.614,0.557,0.571,0.653
Setting 1,Std,0.019,0.019,0.018,0.015,0.043,0.036,0.018
Setting 1,P-value,6.62E-07,1.49E-06,1.55E-03,2.00E-05,8.50E-05,1.76E-05,
Setting 2,AUROC,0.634,0.635,0.657,0.642,0.547,0.685,0.685
Setting 2,AUROC,0.61,0.611,0.634,0.62,0.538,0.574,0.643
Setting 2,AUROC,0.606,0.608,0.643,0.633,0.51,0.583,0.694
Setting 2,AUROC,0.614,0.62,0.658,0.636,0.548,0.616,0.664
Setting 2,AUROC,0.623,0.626,0.669,0.625,0.602,0.612,0.676
Setting 2,AUROC,0.637,0.639,0.674,0.645,0.567,0.662,0.704
Setting 2,AUROC,0.604,0.609,0.682,0.64,0.604,0.544,0.715
Setting 2,AUROC,0.62,0.625,0.685,0.644,0.574,0.582,0.721
Setting 2,AUROC,0.619,0.618,0.659,0.639,0.632,0.592,0.676
Setting 2,AUROC,0.611,0.606,0.691,0.642,0.625,0.494,0.692
Setting 2,Mean,0.618,0.62,0.665,0.636,0.575,0.594,0.687
Setting 2,Std,0.01,0.011,0.017,0.008,0.038,0.052,0.022
Setting 2,P-value,5.61E-06,6.11E-06,1.12E-03,5.13E-06,7.38E-06,5.34E-04,
