"Pheno1","Pheno2","Pheno3","Pheno4","Pheno5","Pheno6","Group"
0.304,0.091,0.032,-0.078,0.152,0.189,"Group1"
0.184,0.179,0.226,0.049,-0.029,-0.004,"Group1"
0.334,0.559,0.376,0.357,0.514,0.543,"Group1"
0.147,0.283,0.398,0.481,0.489,0.399,"Group1"
0.032,0.195,0.061,-0.122,0.118,0.029,"Group1"
0.117,0.189,0.206,0.131,0.01,0.132,"Group1"
0.236,0.561,0.435,0.355,0.28,0.26,"Group1"
0.231,0.242,0.244,0.225,0.399,0.366,"Group1"
-0.031,-0.057,0.034,0.037,-0.056,-0.051,"Group1"
0.239,0.16,0.205,0.343,0.16,0.192,"Group1"
0.498,0.482,0.472,0.265,0.231,0.295,"Group1"
0.296,0.185,0.31,0.014,0.187,0.167,"Group1"
0.162,0.109,-0.045,0.065,-0.075,0.142,"Group1"
0.129,0.167,0.089,0.031,0.089,0.142,"Group1"
0.288,0.143,0.127,0.272,0.261,0.204,"Group1"
0.424,0.341,0.451,0.358,0.216,0.514,"Group1"
0.545,0.26,0.38,0.408,0.269,0.187,"Group1"
0.167,0.187,0.363,0.251,0.227,0.133,"Group1"
0.362,0.347,0.281,0.512,0.396,0.593,"Group1"
0.157,0.075,0.071,0.065,0.1,-0.033,"Group1"
0.045,0.05,0.074,0.194,0.195,0.599,"Group1"
0.368,0.375,0.59,0.636,0.305,0.21,"Group1"
0.048,0.043,-0.23,0.055,-0.038,0.09,"Group1"
0.14,0.398,0.202,0.273,0.206,0.214,"Group1"
0.44,0.407,0.409,0.409,0.456,0.536,"Group1"
0.181,0.296,0.159,0.323,0.196,0.012,"Group1"
-0.034,-0.074,0.15,0.149,0.089,0.017,"Group1"
0.189,0.1,0.294,0.179,0.431,0.263,"Group1"
0.033,0.097,0.182,0.25,0.043,0.006,"Group1"
0.234,-0.009,0.098,0.108,0.116,0.142,"Group1"
0.342,0.337,0.168,0.101,0.356,0.143,"Group1"
-0.222,-0.042,-0.072,0.116,0.02,0.078,"Group1"
0.021,0.05,0.051,0.051,0.199,0.128,"Group1"
0.371,0.32,0.077,0.414,0.109,0.333,"Group1"
0.512,0.778,0.601,0.5,0.755,0.659,"Group1"
0.032,0.008,-0.064,-0.047,-0.001,0.044,"Group1"
-0.145,0.009,-0.111,-0.089,-0.011,-0.204,"Group1"
0.273,0.226,0.215,0.102,0.235,0.145,"Group1"
0.342,0.501,0.328,0.414,0.207,0.522,"Group1"
0.654,0.43,0.472,0.484,0.315,0.35,"Group1"
0.113,0.177,0.242,0.037,0.309,0.444,"Group1"
0.038,0.09,0.35,0.322,0.124,0.218,"Group1"
0.148,0.219,0.315,0.651,0.536,0.417,"Group1"
0.154,0.104,0.231,0.312,0.301,0.197,"Group1"
-0.088,0.065,0.082,0.225,0.165,0.173,"Group1"
0.663,0.532,0.401,0.401,0.429,0.229,"Group2"
0.689,0.542,0.652,0.724,0.726,0.792,"Group2"
0.253,0.352,0.302,0.128,0.25,0.428,"Group2"
0.105,0.122,0.11,0.202,0.216,0.251,"Group2"
0.307,0.193,0.382,0.511,0.432,0.564,"Group2"
0.543,0.543,0.544,0.377,0.338,0.39,"Group2"
0.537,0.468,0.478,0.432,0.437,0.552,"Group2"
0.474,0.489,0.516,0.625,0.587,0.529,"Group2"
0.809,0.555,0.537,0.693,0.68,0.47,"Group2"
0.75,0.476,0.407,0.38,0.47,0.459,"Group2"
0.344,0.346,0.366,0.52,0.544,0.483,"Group2"
0.595,0.721,0.645,0.649,0.686,0.772,"Group2"
0.696,0.678,0.633,0.481,0.411,0.565,"Group2"
0.854,0.69,0.784,0.74,0.742,0.689,"Group2"
0.505,0.375,0.436,0.628,0.639,0.791,"Group2"
0.225,0.234,0.017,0.362,0.387,0.39,"Group2"
0.298,0.391,0.43,0.475,0.418,0.571,"Group2"
0.63,0.308,0.499,0.324,0.34,0.237,"Group2"
0.972,0.851,0.782,0.815,0.873,1.056,"Group2"
0.357,0.278,0.284,0.505,0.335,0.378,"Group2"
0.306,0.27,0.115,0.242,0.247,0.096,"Group2"
0.745,0.834,0.963,0.848,0.8,0.904,"Group2"
0.369,0.626,0.306,0.383,0.223,0.291,"Group2"
0.575,0.478,0.539,0.608,0.602,0.446,"Group2"
0.555,0.43,0.574,0.413,0.493,0.416,"Group2"
0.444,0.491,0.347,0.414,0.524,0.402,"Group2"
0.473,0.434,0.485,0.572,0.497,0.398,"Group2"
0.635,0.634,0.709,0.653,0.674,0.578,"Group2"
0.263,0.404,0.321,0.475,0.396,0.432,"Group2"
0.493,0.368,0.377,0.416,0.421,0.402,"Group2"
0.754,0.599,0.412,0.637,0.532,0.574,"Group2"
0.389,0.316,0.266,0.186,0.447,0.006,"Group2"
0.184,0.166,0.293,0.139,0.374,0.472,"Group2"
0.296,0.269,0.184,0.348,0.456,0.393,"Group2"
0.472,0.479,0.553,0.572,0.324,0.572,"Group2"
0.777,0.775,0.76,0.797,0.761,0.84,"Group2"
0.711,0.782,0.581,0.603,0.469,0.631,"Group2"
0.451,0.628,0.602,0.712,0.639,0.642,"Group2"
0.437,0.525,0.501,0.52,0.469,0.571,"Group2"
0.535,0.619,0.622,0.486,0.46,0.537,"Group2"
0.552,0.462,0.501,0.383,0.442,0.477,"Group2"
0.872,0.724,0.739,0.69,0.673,0.8,"Group2"
0.723,0.76,0.9,0.785,0.804,0.879,"Group2"
