Afrotropic,Antarctic,Australasia,Indomalaya,Nearctic,Neotropic,Oceania,Palearctic,Multiple
2012,2010,2018,2011,2015,2013,2024,2024,2011
2000,2008,2012,2018,2002,2004,2016,2014,2018
2020,,1997,2021,2009,2024,2012,2024,
2024,,2016,2018,2014,2010,2007,2021,
2020,,2008,2008,2016,2005,2004,2006,
2001,,1999,2002,2015,2009,2006,2005,
2006,,2018,2023,2002,2014,2006,2024,
2001,,2017,2014,2019,2002,2022,2020,
2020,,2011,2007,2019,2023,2018,2017,
2017,,2006,2006,1993,2024,2019,2008,
2018,,2005,2018,2020,1998,2016,2012,
2014,,2015,2015,2010,2010,2020,2016,
2015,,2011,2007,2008,2014,2011,2018,
2016,,2014,2004,2000,2017,,2006,
2000,,2001,2019,2009,2014,,2024,
2017,,2007,2017,2014,2012,,2024,
2015,,2014,2005,2024,2008,,2024,
1992,,2007,2007,2009,2015,,2020,
2015,,2011,2017,2005,2011,,2024,
2007,,2000,2020,2024,2020,,2020,
2019,,2005,2008,2012,2002,,2013,
2001,,2010,2011,2010,2012,,2019,
2018,,2008,2017,2019,2007,,2005,
2006,,2017,2020,2012,2022,,1999,
2001,,2007,2010,2013,2011,,2021,
2012,,2013,2024,2024,2011,,2017,
2008,,2007,,2008,2009,,2007,
2005,,2015,,2003,2011,,2008,
2011,,2020,,2020,2019,,2005,
2004,,2017,,2022,2007,,2023,
2005,,2016,,2020,2021,,2023,
2006,,2014,,2014,2014,,2023,
2001,,2024,,2009,2009,,2016,
2014,,2005,,2008,2007,,2010,
2010,,2011,,2016,2015,,2009,
2005,,2009,,2004,2013,,2019,
2011,,2023,,2005,2022,,2016,
2011,,2008,,2009,2017,,2015,
2000,,2013,,1994,2014,,2015,
2023,,2013,,2022,2011,,2014,
2004,,2005,,2013,2018,,2024,
2003,,2014,,2019,2014,,2024,
2000,,2002,,2011,2009,,2006,
2016,,2008,,2024,1999,,2006,
2013,,2009,,2013,2002,,2024,
2011,,2015,,2009,2014,,2008,
2009,,2003,,2018,2005,,2018,
,,2009,,2010,2018,,1996,
,,2010,,1995,2018,,2009,
,,,,2017,2010,,2000,
,,,,2007,2020,,2024,
,,,,2004,2007,,2015,
,,,,2013,2020,,2000,
,,,,2015,2019,,2007,
,,,,2003,2024,,2024,
,,,,2009,2016,,2009,
,,,,2024,2010,,2005,
,,,,2021,2016,,2003,
,,,,2012,2013,,2012,
,,,,2011,2014,,2014,
,,,,2014,2022,,2022,
,,,,2022,2023,,2024,
,,,,2011,2011,,2008,
,,,,2010,2008,,2016,
,,,,2016,2015,,2017,
,,,,2010,2018,,2021,
,,,,2009,2009,,2001,
,,,,2017,2017,,2009,
,,,,2016,2013,,2016,
,,,,2018,2019,,2021,
,,,,2024,,,2016,
,,,,2018,,,2013,
,,,,2003,,,2013,
,,,,2017,,,2009,
,,,,2017,,,2004,
,,,,2007,,,2010,
,,,,1995,,,2013,
,,,,2016,,,2014,
,,,,2010,,,2006,
,,,,2010,,,2023,
,,,,2024,,,2010,
,,,,2016,,,2009,
,,,,2009,,,2009,
,,,,2015,,,2014,
,,,,2021,,,2023,
,,,,2006,,,2005,
,,,,2020,,,2018,
,,,,2009,,,2007,
,,,,2000,,,2004,
,,,,2012,,,2014,
,,,,2008,,,2003,
,,,,2006,,,2022,
,,,,2024,,,2006,
,,,,2011,,,2022,
,,,,2020,,,2020,
,,,,1995,,,2007,
,,,,2019,,,1999,
,,,,2011,,,1982,
,,,,2015,,,2021,
,,,,2016,,,2024,
,,,,2017,,,2011,
,,,,2018,,,1999,
,,,,2012,,,2000,
,,,,2013,,,2009,
,,,,2013,,,2021,
,,,,2007,,,2024,
,,,,2019,,,2024,
,,,,2017,,,2020,
,,,,2024,,,2008,
,,,,2008,,,2005,
,,,,2011,,,2019,
,,,,2011,,,2002,
,,,,2021,,,2022,
,,,,2016,,,2004,
,,,,2001,,,2021,
,,,,2006,,,2020,
,,,,2012,,,2003,
,,,,2013,,,2008,
,,,,2007,,,2012,
,,,,2015,,,2011,
,,,,2022,,,2013,
,,,,2001,,,2018,
,,,,2015,,,2010,
,,,,2008,,,1996,
,,,,2018,,,2006,
,,,,2010,,,2024,
,,,,2004,,,2015,
,,,,2006,,,2023,
,,,,2007,,,2013,
,,,,2008,,,2018,
,,,,2016,,,2012,
,,,,2024,,,2021,
,,,,2000,,,2011,
,,,,2014,,,2021,
