Feature,value
Feature A,26.63714612
Feature A,28.61893506
Feature A,39.35224988
Feature A,30.42305035
Feature A,30.77572641
Feature A,40.29038992
Feature A,32.76549724
Feature A,22.40963259
Feature A,25.87888289
Feature A,27.32602818
Feature A,37.34449078
Feature A,32.15888296
Feature A,32.4046287
Feature A,30.6640963
Feature A,26.66495319
Feature A,40.72147882
Feature A,32.98710287
Feature A,18.20029706
Feature A,34.20813541
Feature A,27.16325155
Feature A,23.59305776
Feature A,28.69215051
Feature A,23.84397331
Feature A,25.62665262
Feature A,26.24976439
Feature A,19.87984014
Feature A,35.02672227
Feature A,30.92023871
Feature A,23.17117838
Feature A,37.52288953
Feature A,32.55878533
Feature A,28.2295711
Feature A,35.37075397
Feature A,35.26880093
Feature A,34.92948649
Feature A,34.13184152
Feature A,33.32350592
Feature A,29.62852974
Feature A,28.16422402
Feature A,27.71717399
Feature A,25.83175813
Feature A,28.75249633
Feature A,22.40762189
Feature A,43.01373579
Feature A,37.24777199
Feature A,23.2613485
Feature A,27.58269099
Feature A,27.20006788
Feature A,34.67979071
Feature A,29.4997856
Feature A,31.51991108
Feature A,29.82871947
Feature A,29.74277726
Feature A,38.2116137
Feature A,28.64537409
Feature A,39.09882363
Feature A,20.70748317
Feature A,33.5076825
Feature A,30.74312546
Feature A,31.29564941
Feature A,32.2778369
Feature A,26.98605928
Feature A,28.0007557
Feature A,23.8885477
Feature A,23.56925264
Feature A,31.82117185
Feature A,32.68925867
Feature A,30.31802536
Feature A,35.53360481
Feature A,42.30050811
Feature A,27.053813
Feature A,16.14498675
Feature A,36.03443115
Feature A,25.74479542
Feature A,25.8719483
Feature A,36.15342822
Feature A,28.29136196
Feature A,22.67569373
Feature A,31.08782088
Feature A,29.16665183
Feature A,30.03458512
Feature A,32.31168241
Feature A,27.77603981
Feature A,33.86625929
Feature A,28.67708063
Feature A,31.99069178
Feature A,36.58103408
Feature A,32.61108895
Feature A,28.04441049
Feature A,36.89284571
Feature A,35.96102314
Feature A,33.29038176
Feature A,31.43239041
Feature A,26.23256354
Feature A,38.16391469
Feature A,26.39844248
Feature A,43.12399796
Feature A,39.19566376
Feature A,28.58579785
Feature A,23.8414746
Feature A,25.73756062
Feature A,31.54130225
Feature A,28.51984873
Feature A,27.9147444
Feature A,24.2902886
Feature A,29.72983365
Feature A,25.29057318
Feature A,19.99234838
Feature A,27.71864088
Feature A,35.51397965
Feature A,26.54791822
Feature A,33.64778593
Feature A,20.29270375
Feature A,29.66662821
Feature A,33.11644322
Feature A,31.80692017
Feature A,30.63405716
Feature A,26.15576395
Feature A,24.90177392
Feature A,23.85522726
Feature A,30.70587958
Feature A,24.31515231
Feature A,27.05665534
Feature A,28.46344685
Feature A,41.06317203
Feature A,26.08830059
Feature A,31.41231943
Feature A,30.4677651
Feature A,24.2288602
Feature A,29.57215148
Feature A,38.66730515
Feature A,32.70902432
Feature A,30.24739753
Feature A,27.46501901
Feature A,17.68051667
Feature A,36.78802328
Feature A,21.23615957
Feature A,34.43968507
Feature A,41.45462142
Feature A,21.33664103
Feature A,34.21070601
Feature A,28.42681506
Feature A,20.56713505
Feature A,20.91199408
Feature A,20.39078296
Feature A,26.81456087
Feature A,21.22946649
Feature A,34.12750064
Feature A,42.60065364
Feature A,22.27781714
Feature A,34.72643308
Feature A,34.61425345
Feature A,31.99321547
Feature A,23.94974035
Feature A,29.28328436
Feature A,28.31762799
Feature A,33.3779372
Feature A,27.76536746
Feature A,35.86184032
Feature A,27.75251485
Feature A,36.31626879
Feature A,23.70493796
Feature A,22.43906853
Feature A,49.44623961
Feature A,27.49885447
Feature A,31.78936555
Feature A,33.81941804
Feature A,27.09731625
Feature A,33.10117227
Feature A,32.21378716
Feature A,28.70771695
Feature A,30.3917582
Feature A,29.79559648
Feature A,42.77071139
Feature A,25.55198342
Feature A,23.4240224
Feature A,30.2267304
