genome_a,genome_b,edge,Phylogenetic distance (GTDB),Functional distance (KO jaccard),category
MAGsDB_PAAX01,MAGsDB_PASS01,0,1.510682227,0.588097103,unlinked
MAGsDB_TARA_RED_MAG_00015,MAGsDB_NHCT01,0,2.505709934,0.603966006,unlinked
MAGsDB_NZAO01,MAGsDB_PCCK01,0,2.146672927,0.593652445,unlinked
MAGsDB_NZZH01,MAGsDB_NHEC01,0,2.78416252,0.709387296,unlinked
MAGsDB_DJLZ01,MAGsDB_DAGF01,0,1.977597551,0.806851742,unlinked
MarDB_GCA_003533785.1_ASM353378v1,MAGsDB_NZZG01,0,2.237512227,0.710782045,unlinked
MAGsDB_DDEL01,MAGsDB_PBKG01,0,2.223688517,0.645806726,unlinked
MarDB_Prochlorococcus_marinus_MIT_9302,MarRef_Celeribacter_manganoxidans_strain_DY25,0,3.360975527,0.641516966,unlinked
MarDB_Prochlorococcus_sp_AG-402-G06,MarDB_Roseobacter_sp_MED193,0,3.329092507,0.675581395,unlinked
MAGsDB_DATW01,MarDB_Bacteroidetes_bacterium_strain_Spr30G08_bin33,0,3.101889742,0.776198934,unlinked
MAGsDB_DAFX01,MarDB_Oceanicaulis_alexandrii,0,2.861091227,0.795623836,unlinked
MAGsDB_TARA_MED_MAG_00077,MAGsDB_DIHQ01,0,2.410719214,0.528562461,unlinked
MarDB_Synechococcus_sp_WH8016,MAGsDB_TARA_ASE_MAG_00008,0,2.540246154,0.637298091,unlinked
MarRef_Synechococcus_sp_WH_8102,MarDB_Candidatus_Pelagibacter_ubique_HIMB058,0,2.770331767,0.624806999,unlinked
MarDB_GCA_003444155.1_ASM344415v1,MAGsDB_DAMU01,0,2.581491904,0.799818429,unlinked
MAGsDB_TARA_MED_MAG_00032,MarDB_Oceanospirillum_beijerinckii,0,2.313056814,0.685376098,unlinked
MAGsDB_PBYB01,MAGsDB_PAOV01,0,2.592730584,0.762576097,unlinked
MAGsDB_NYVA01,MAGsDB_PBWI01,0,2.762732228,0.711372064,unlinked
MarDB_GCA_003519765.1_ASM351976v1,MarDB_Prochlorococcus_sp_AG-355-G23,0,3.141698614,0.688224527,unlinked
MAGsDB_TARA_PSW_MAG_00002,MarDB_Prochlorococcus_sp_AG-355-M18,0,2.881597227,0.624213836,unlinked
MarDB_Salinisphaera_shabanensis,MAGsDB_DLPT01,0,1.286595882,0.519025875,unlinked
MarDB_Salinicola_salarius_strain_DSM_18044,MarDB_Prochlorococcus_sp_AG-355-B18,0,2.977390254,0.68102824,unlinked
MAGsDB_PAYI01,MAGsDB_PBRZ01,0,2.059592727,0.601915185,unlinked
MarDB_GCA_003444075.1_ASM344407v1,MAGsDB_DJZG01,0,1.818835693,0.552074513,unlinked
MAGsDB_PBIY01,MAGsDB_PAOB01,0,2.298247774,0.621090909,unlinked
MAGsDB_PBWJ01,MarDB_Sphingomonas_sp_SKA58,0,3.015545658,0.712389381,unlinked
MAGsDB_NZYO01,MAGsDB_NZNV01,0,2.128582727,0.676111383,unlinked
MAGsDB_TARA_PSE_MAG_00046,MarDB_GCA_003602535.1_ASM360253v1,0,2.53534391,0.791113676,unlinked
MarDB_Prochlorococcus_sp_AG-347-K10,MAGsDB_TARA_RED_MAG_00018,0,3.085314814,0.818127251,unlinked
MAGsDB_PATH01,MAGsDB_PBTT01,0,2.367823857,0.69,unlinked
MAGsDB_PBPT01,MarDB_Glaciecola_mesophila_KMM_241,0,2.402766157,0.700700332,unlinked
MAGsDB_DLRK01,MAGsDB_PBHZ01,0,2.674947227,0.806078148,unlinked
MAGsDB_DCCC01,MAGsDB_PASS01,0,1.527022227,0.562525458,unlinked
MarDB_Prochlorococcus_sp_AG-347-J22,MarDB_Candidatus_Pelagibacter_sp_HTCC7211,0,3.466628207,0.644714997,unlinked
MAGsDB_DEYU01,MarRef_alpha_proteobacterium_HIMB5,0,2.518686643,0.642607683,unlinked
MAGsDB_TARA_PSE_MAG_00038,MAGsDB_TARA_ANE_MAG_00054,0,2.4028082,0.679363275,unlinked
MAGsDB_TARA_IOS_MAG_00015,MAGsDB_NZUH01,0,2.764352054,0.634379263,unlinked
MAGsDB_TARA_MED_MAG_00136,MAGsDB_DJYW01,0,2.156279114,0.574755473,unlinked
MarDB_GCA_003533785.1_ASM353378v1,MarDB_OCS155_cluster_bacterium_AG-333-G23,0,2.869693111,0.690492713,unlinked
MarDB_Proteobacteria_bacterium_UBA5953,MAGsDB_TARA_MED_MAG_00126,0,2.26320632,0.664288899,unlinked
MAGsDB_DKPX01,MarDB_Synechococcus_sp_RS9916,0,1.833618227,0.649076517,unlinked
MAGsDB_DGLR01,MAGsDB_TARA_RED_MAG_00014,0,2.261068806,0.713525836,unlinked
MAGsDB_NZJW01,MAGsDB_PAHZ01,0,3.225733727,0.670992366,unlinked
MAGsDB_PBRC01,MAGsDB_NZUJ01,0,2.164692227,0.585346216,unlinked
MAGsDB_TARA_PSE_MAG_00038,MarDB_Colwellia_aestuarii_CGMCC1_6965,0,1.896060814,0.592351816,unlinked
MAGsDB_PBKN01,MAGsDB_PAVC01,0,2.394612027,0.691072575,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-349-O05,MAGsDB_PABA01,0,2.349522237,0.712810707,unlinked
MAGsDB_NZHJ01,MarDB_Pelagibacterales_bacterium_MED-G40,0,3.022821007,0.656912948,unlinked
MAGsDB_TARA_PON_MAG_00002,MarDB_GCA_003533785.1_ASM353378v1,0,1.740102227,0.665630827,unlinked
MAGsDB_TARA_ANE_MAG_00078,MAGsDB_DARI01,0,2.608958114,0.82039801,unlinked
MAGsDB_PALX01,MAGsDB_NZTO01,0,2.392252227,0.632949727,unlinked
MAGsDB_TARA_MED_MAG_00063,MAGsDB_DEAA01,0,1.702372014,0.638420799,unlinked
MAGsDB_TARA_PSE_MAG_00031,MAGsDB_NZRN01,0,2.89904546,0.695224719,unlinked
MAGsDB_TARA_MED_MAG_00027,MarDB_SAR324_cluster_bacterium_lautmerah10,0,1.948269761,0.668719754,unlinked
MarDB_alpha_proteobacterium_SCGC_AAA536-K22,MAGsDB_TARA_PSE_MAG_00018,0,2.419765388,0.648567764,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-404-P07,MAGsDB_NZIO01,0,0.493232237,0.367218282,unlinked
MAGsDB_NZKY01,MarDB_Synechococcus_sp_WH_8109,0,2.171794802,0.608554161,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-345-F21,MarDB_Prochlorococcus_marinus_MIT_9107,0,3.256848167,0.67020649,unlinked
MAGsDB_TARA_IOS_MAG_00024,MAGsDB_NHCT01,0,2.233428314,0.650060753,unlinked
MAGsDB_TARA_PSE_MAG_00073,MAGsDB_PAZE01,0,3.072754424,0.701995012,unlinked
MAGsDB_TARA_ANW_MAG_00065,MAGsDB_PBAR01,0,2.01275019,0.607275734,unlinked
MarDB_Prochlorococcus_sp_AG-347-J14,MAGsDB_PAZP01,0,3.250913827,0.700060716,unlinked
MAGsDB_DKPW01,MarDB_Pelagibacteraceae_bacterium_AG-426-I15,0,1.837092227,0.651212553,unlinked
MarDB_Synechococcus_sp_AG-679-B05,MAGsDB_TARA_ANE_MAG_00024,0,2.776354222,0.807692308,unlinked
MAGsDB_DJLZ01,MAGsDB_TARA_PSW_MAG_00069,0,1.097213114,0.588268472,unlinked
MarDB_Pseudomonas_sp_MT5,MAGsDB_NHFA01,0,2.387754315,0.817795108,unlinked
MAGsDB_DLRV01,MAGsDB_PAHY01,0,1.790392227,0.717804002,unlinked
MAGsDB_NZFP01,MAGsDB_TARA_ANE_MAG_00030,0,2.676324144,0.79870892,unlinked
MarDB_Prochlorococcus_sp_scB241_528N17,MAGsDB_PAPT01,0,3.212076747,0.628885701,unlinked
MarDB_Rhodobacteraceae_bacterium_HTCC2083,MAGsDB_PAHJ01,0,1.366062227,0.411134021,unlinked
MAGsDB_PABV01,MarDB_Spongiibacter_tropicus,0,2.452556641,0.805970149,unlinked
MAGsDB_PBYE01,MarDB_Pelagibacteraceae_bacterium_AG-313-A04,0,1.971772167,0.618811881,unlinked
MAGsDB_NZHT01,MAGsDB_PBAP01,0,1.352922786,0.526670754,unlinked
MAGsDB_TARA_MED_MAG_00025,MarDB_GCF_003730275.1_ASM373027v1,0,2.8008957,0.660474716,unlinked
MAGsDB_DGPK01,MAGsDB_DDZT01,0,2.616782178,0.670241287,unlinked
MarDB_GCF_003335485.1_ASM333548v1,MAGsDB_DEYM01,0,1.586248827,0.56272838,unlinked
MarDB_Prochlorococcus_sp_AG-347-J14,MarDB_Prochlorococcus_sp_AG-449-G23,0,0.029362227,0.180916031,unlinked
MAGsDB_PBKW01,MarDB_Pseudomonas_stutzeri_strain_4C29,0,2.576350618,0.736311239,unlinked
MAGsDB_DEBL01,MAGsDB_DAXQ01,0,1.891786927,0.826855124,unlinked
MarDB_Prochlorococcus_sp_AG-402-L18,MAGsDB_PBNV01,0,2.905818227,0.682141165,unlinked
MAGsDB_TARA_IOS_MAG_00024,MarDB_Candidatus_Pelagibacter_ubique_HIMB083,0,2.660550524,0.58934373,unlinked
MAGsDB_DIIC01,MAGsDB_TARA_RED_MAG_00018,0,2.078882814,0.802904564,unlinked
MarDB_Thalassolituus_sp_UBA2535,MarDB_Prochlorococcus_sp_AG-347-L21,0,3.028870869,0.693844272,unlinked
MAGsDB_DEBO01,MarDB_Prochlorococcus_marinus_XMU1408,0,2.777228227,0.6305,unlinked
MarDB_Halomonas_taeanensis_strain_BH539,MAGsDB_PASM01,0,2.820840394,0.741998439,unlinked
